Label,Prediction,Correct
tensor(5),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(8),tensor(0),False
tensor(2),tensor(0),False
tensor(2),tensor(0),False
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(0),tensor(2),False
tensor(0),tensor(2),False
tensor(2),tensor(2),True
tensor(1),tensor(0),False
tensor(0),tensor(0),True
tensor(1),tensor(2),False
tensor(4),tensor(0),False
tensor(0),tensor(0),True
tensor(5),tensor(0),False
tensor(2),tensor(2),True
tensor(7),tensor(2),False
tensor(0),tensor(0),True
tensor(0),tensor(2),False
tensor(0),tensor(2),False
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(7),tensor(2),False
tensor(0),tensor(2),False
tensor(6),tensor(0),False
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(2),tensor(0),False
tensor(0),tensor(2),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(7),tensor(0),False
tensor(3),tensor(0),False
tensor(5),tensor(2),False
tensor(2),tensor(2),True
tensor(1),tensor(2),False
tensor(2),tensor(0),False
tensor(3),tensor(0),False
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(2),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(0),tensor(2),False
tensor(4),tensor(0),False
tensor(0),tensor(2),False
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(0),tensor(2),False
tensor(2),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(2),False
tensor(1),tensor(2),False
tensor(7),tensor(0),False
tensor(2),tensor(0),False
tensor(0),tensor(0),True
tensor(2),tensor(0),False
tensor(0),tensor(2),False
tensor(0),tensor(0),True
tensor(8),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(0),tensor(2),False
tensor(3),tensor(0),False
tensor(5),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(2),tensor(0),False
tensor(5),tensor(2),False
tensor(0),tensor(2),False
tensor(4),tensor(2),False
tensor(0),tensor(2),False
tensor(4),tensor(0),False
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(5),tensor(0),False
tensor(8),tensor(0),False
tensor(5),tensor(0),False
tensor(0),tensor(2),False
tensor(2),tensor(2),True
tensor(7),tensor(0),False
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(5),tensor(0),False
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(2),tensor(0),False
tensor(3),tensor(0),False
tensor(5),tensor(0),False
tensor(3),tensor(0),False
tensor(0),tensor(2),False
tensor(0),tensor(0),True
tensor(2),tensor(0),False
tensor(2),tensor(2),True
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(0),tensor(2),False
tensor(2),tensor(0),False
tensor(7),tensor(0),False
tensor(0),tensor(2),False
tensor(0),tensor(2),False
tensor(2),tensor(0),False
tensor(0),tensor(2),False
tensor(0),tensor(0),True
tensor(2),tensor(2),True
tensor(6),tensor(0),False
tensor(3),tensor(0),False
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(2),tensor(2),True
tensor(2),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(7),tensor(0),False
tensor(2),tensor(0),False
tensor(2),tensor(0),False
tensor(2),tensor(0),False
tensor(0),tensor(0),True
tensor(5),tensor(0),False
tensor(2),tensor(0),False
tensor(0),tensor(2),False
tensor(7),tensor(0),False
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(0),tensor(0),True
tensor(1),tensor(2),False
tensor(1),tensor(2),False
tensor(2),tensor(0),False
tensor(3),tensor(0),False
